#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             3.00          3.20          9.21         11.54       4972.06
             3.20          3.40          9.21         11.54      10883.07
             3.40          3.60          9.21         11.54      22818.98
             3.60          3.80          9.21         11.54      44335.67
             3.80          4.00          9.21         11.54      80961.59
             4.00          4.20          9.21         11.54     146504.70
             4.20          4.40          9.21         11.54     241115.11
             4.40          4.60          9.21         11.54     386359.06
             4.60          4.80          9.21         11.54     615251.80
             4.80          5.00          9.21         11.54     889482.63
             5.00          5.20          9.21         11.54    1317875.45
             5.20          5.40          9.21         11.54    1827410.34
             5.40          5.60          9.21         11.54    2468844.97
             5.60          5.80          9.21         11.54    3267231.46
             5.80          6.00          9.21         11.54    4259627.95
             6.00          6.20          9.21         11.54    5051360.14
             6.20          6.40          9.21         11.54    6202440.15
             6.40          6.60          9.21         11.54    7462375.74
             6.60          6.80          9.21         11.54    8674010.25
             6.80          7.00          9.21         11.54   10144439.25
             7.00          7.20          9.21         11.54   12449860.94
             7.20          7.40          9.21         11.54   10190900.27
             7.40          7.60          9.21         11.54   11586422.66
             7.60          7.80          9.21         11.54   10731160.58
             7.80          8.00          9.21         11.54    7941762.50
             8.00          8.20          9.21         11.54    7257524.60
             8.20          8.40          9.21         11.54    6888400.63
             8.40          8.60          9.21         11.54    7089775.46
             8.60          8.80          9.21         11.54    3450002.32
             8.80          9.00          9.21         11.54    2408822.13
             9.00          9.20          9.21         11.54          0.00
             9.20          9.40          9.21         11.54          0.00
             9.40          9.60          9.21         11.54          0.00
             9.60          9.80          9.21         11.54          0.00
             9.80         10.00          9.21         11.54          0.00
             2.00          2.20         11.54         13.89         14.45
             2.20          2.40         11.54         13.89         83.93
             2.40          2.60         11.54         13.89        293.59
             2.60          2.80         11.54         13.89        829.24
             2.80          3.00         11.54         13.89       2114.28
             3.00          3.20         11.54         13.89       4980.05
             3.20          3.40         11.54         13.89      11156.80
             3.40          3.60         11.54         13.89      22946.35
             3.60          3.80         11.54         13.89      44309.20
             3.80          4.00         11.54         13.89      82551.19
             4.00          4.20         11.54         13.89     146737.99
             4.20          4.40         11.54         13.89     241636.98
             4.40          4.60         11.54         13.89     385315.51
             4.60          4.80         11.54         13.89     608146.88
             4.80          5.00         11.54         13.89     841654.96
             5.00          5.20         11.54         13.89    1247810.06
             5.20          5.40         11.54         13.89    1746454.76
             5.40          5.60         11.54         13.89    2327832.91
             5.60          5.80         11.54         13.89    2967341.38
             5.80          6.00         11.54         13.89    3936720.57
             6.00          6.20         11.54         13.89    4993845.15
             6.20          6.40         11.54         13.89    5610607.21
             6.40          6.60         11.54         13.89    6609086.97
             6.60          6.80         11.54         13.89    7366066.10
             6.80          7.00         11.54         13.89    7775894.91
             7.00          7.20         11.54         13.89    6428741.99
             7.20          7.40         11.54         13.89    8544743.88
             7.40          7.60         11.54         13.89    8807318.23
             7.60          7.80         11.54         13.89    7296707.67
             7.80          8.00         11.54         13.89    6473696.19
             8.00          8.20         11.54         13.89    5395459.23
             8.20          8.40         11.54         13.89    3720293.35
             8.40          8.60         11.54         13.89    2599711.09
             8.60          8.80         11.54         13.89    1727774.67
             8.80          9.00         11.54         13.89    1003305.51
             9.00          9.20         11.54         13.89          0.00
             9.20          9.40         11.54         13.89          0.00
             9.40          9.60         11.54         13.89          0.00
             9.60          9.80         11.54         13.89          0.00
             9.80         10.00         11.54         13.89          0.00
             2.00          2.20         13.89         16.26         14.94
             2.20          2.40         13.89         16.26         85.91
             2.40          2.60         13.89         16.26        297.89
             2.60          2.80         13.89         16.26        846.02
             2.80          3.00         13.89         16.26       2135.44
             3.00          3.20         13.89         16.26       5040.43
             3.20          3.40         13.89         16.26      11057.43
             3.40          3.60         13.89         16.26      22788.41
             3.60          3.80         13.89         16.26      44026.17
             3.80          4.00         13.89         16.26      81673.58
             4.00          4.20         13.89         16.26     143684.60
             4.20          4.40         13.89         16.26     240411.42
             4.40          4.60         13.89         16.26     390870.66
             4.60          4.80         13.89         16.26     571520.90
             4.80          5.00         13.89         16.26     840330.12
             5.00          5.20         13.89         16.26    1198717.63
             5.20          5.40         13.89         16.26    1703022.03
             5.40          5.60         13.89         16.26    2210231.92
             5.60          5.80         13.89         16.26    2871983.64
             5.80          6.00         13.89         16.26    3430115.49
             6.00          6.20         13.89         16.26    4412471.44
             6.20          6.40         13.89         16.26    4981669.06
             6.40          6.60         13.89         16.26    5569478.31
             6.60          6.80         13.89         16.26    6764856.67
             6.80          7.00         13.89         16.26    6426155.20
             7.00          7.20         13.89         16.26    6627215.40
             7.20          7.40         13.89         16.26    6109497.49
             7.40          7.60         13.89         16.26    5446423.65
             7.60          7.80         13.89         16.26    4531481.22
             7.80          8.00         13.89         16.26    3586493.90
             8.00          8.20         13.89         16.26    3230633.29
             8.20          8.40         13.89         16.26    1216699.64
             8.40          8.60         13.89         16.26    1129828.30
             8.60          8.80         13.89         16.26     807250.49
             8.80          9.00         13.89         16.26     309221.61
             9.00          9.20         13.89         16.26          0.00
             9.20          9.40         13.89         16.26          0.00
             9.40          9.60         13.89         16.26          0.00
             9.60          9.80         13.89         16.26          0.00
             9.80         10.00         13.89         16.26          0.00
             2.00          2.20         16.26         18.66         15.91
             2.20          2.40         16.26         18.66         88.82
             2.40          2.60         16.26         18.66        304.87
             2.60          2.80         16.26         18.66        852.47
             2.80          3.00         16.26         18.66       2160.27
             3.00          3.20         16.26         18.66       5081.77
             3.20          3.40         16.26         18.66      11181.94
             3.40          3.60         16.26         18.66      23026.00
             3.60          3.80         16.26         18.66      44254.93
             3.80          4.00         16.26         18.66      81013.25
             4.00          4.20         16.26         18.66     143635.26
             4.20          4.40         16.26         18.66     232839.61
             4.40          4.60         16.26         18.66     369907.63
             4.60          4.80         16.26         18.66     566428.36
             4.80          5.00         16.26         18.66     806426.47
             5.00          5.20         16.26         18.66    1165787.84
             5.20          5.40         16.26         18.66    1636525.59
             5.40          5.60         16.26         18.66    2147861.80
             5.60          5.80         16.26         18.66    2818097.06
             5.80          6.00         16.26         18.66    3435549.91
             6.00          6.20         16.26         18.66    4142351.74
             6.20          6.40         16.26         18.66    4689678.84
             6.40          6.60         16.26         18.66    5237979.80
             6.60          6.80         16.26         18.66    5260316.63
             6.80          7.00         16.26         18.66    5233491.63
             7.00          7.20         16.26         18.66    4738982.81
             7.20          7.40         16.26         18.66    5087674.46
             7.40          7.60         16.26         18.66    4484265.32
             7.60          7.80         16.26         18.66    3514098.72
             7.80          8.00         16.26         18.66    1840757.98
             8.00          8.20         16.26         18.66    1103166.72
             8.20          8.40         16.26         18.66    1189736.79
             8.40          8.60         16.26         18.66     657513.78
             8.60          8.80         16.26         18.66     563540.44
             8.80          9.00         16.26         18.66     135702.51
             9.00          9.20         16.26         18.66          0.00
             9.20          9.40         16.26         18.66          0.00
             9.40          9.60         16.26         18.66          0.00
             9.60          9.80         16.26         18.66          0.00
             9.80         10.00         16.26         18.66          0.00
             2.00          2.20         18.66         21.10         16.58
             2.20          2.40         18.66         21.10         91.18
             2.40          2.60         18.66         21.10        313.15
             2.60          2.80         18.66         21.10        864.39
             2.80          3.00         18.66         21.10       2193.07
             3.00          3.20         18.66         21.10       5187.62
             3.20          3.40         18.66         21.10      11201.79
             3.40          3.60         18.66         21.10      22821.17
             3.60          3.80         18.66         21.10      44663.78
             3.80          4.00         18.66         21.10      81068.82
             4.00          4.20         18.66         21.10     141484.43
             4.20          4.40         18.66         21.10     226234.68
             4.40          4.60         18.66         21.10     374431.95
             4.60          4.80         18.66         21.10     567042.12
             4.80          5.00         18.66         21.10     823252.02
             5.00          5.20         18.66         21.10    1128787.31
             5.20          5.40         18.66         21.10    1565890.27
             5.40          5.60         18.66         21.10    1975063.56
             5.60          5.80         18.66         21.10    2499872.19
             5.80          6.00         18.66         21.10    3192430.28
             6.00          6.20         18.66         21.10    3389383.23
             6.20          6.40         18.66         21.10    4222382.03
             6.40          6.60         18.66         21.10    4121111.12
             6.60          6.80         18.66         21.10    4386091.56
             6.80          7.00         18.66         21.10    4670343.38
             7.00          7.20         18.66         21.10    4495053.97
             7.20          7.40         18.66         21.10    3850914.49
             7.40          7.60         18.66         21.10    3230709.27
             7.60          7.80         18.66         21.10    1648576.97
             7.80          8.00         18.66         21.10    1539086.29
             8.00          8.20         18.66         21.10    1128370.56
             8.20          8.40         18.66         21.10     568677.33
             8.40          8.60         18.66         21.10     230792.29
             8.60          8.80         18.66         21.10     151561.95
             8.80          9.00         18.66         21.10      63676.89
             9.00          9.20         18.66         21.10          0.00
             9.20          9.40         18.66         21.10          0.00
             9.40          9.60         18.66         21.10          0.00
             9.60          9.80         18.66         21.10          0.00
             9.80         10.00         18.66         21.10          0.00
             2.00          2.20         21.10         23.58         17.53
             2.20          2.40         21.10         23.58         93.72
             2.40          2.60         21.10         23.58        322.94
             2.60          2.80         21.10         23.58        891.39
             2.80          3.00         21.10         23.58       2231.63
             3.00          3.20         21.10         23.58       5117.50
             3.20          3.40         21.10         23.58      11146.98
             3.40          3.60         21.10         23.58      23178.42
             3.60          3.80         21.10         23.58      44216.68
             3.80          4.00         21.10         23.58      78495.43
             4.00          4.20         21.10         23.58     141398.76
             4.20          4.40         21.10         23.58     234300.80
             4.40          4.60         21.10         23.58     366121.90
             4.60          4.80         21.10         23.58     559673.65
             4.80          5.00         21.10         23.58     782685.06
             5.00          5.20         21.10         23.58    1127198.03
             5.20          5.40         21.10         23.58    1455009.12
             5.40          5.60         21.10         23.58    1894109.43
             5.60          5.80         21.10         23.58    2299810.24
             5.80          6.00         21.10         23.58    2796796.91
             6.00          6.20         21.10         23.58    3291912.10
             6.20          6.40         21.10         23.58    3620573.10
             6.40          6.60         21.10         23.58    3474613.96
             6.60          6.80         21.10         23.58    3859323.45
             6.80          7.00         21.10         23.58    3833929.76
             7.00          7.20         21.10         23.58    2444719.14
             7.20          7.40         21.10         23.58    2386099.73
             7.40          7.60         21.10         23.58    1748583.69
             7.60          7.80         21.10         23.58    1552737.76
             7.80          8.00         21.10         23.58     893855.18
             8.00          8.20         21.10         23.58     312193.70
             8.20          8.40         21.10         23.58     301601.13
             8.40          8.60         21.10         23.58     164259.32
             8.60          8.80         21.10         23.58      63664.32
             8.80          9.00         21.10         23.58      96219.47
             9.00          9.20         21.10         23.58          0.00
             9.20          9.40         21.10         23.58          0.00
             9.40          9.60         21.10         23.58          0.00
             9.60          9.80         21.10         23.58          0.00
             9.80         10.00         21.10         23.58          0.00
             2.00          2.20         23.58         26.10         18.10
             2.20          2.40         23.58         26.10         97.24
             2.40          2.60         23.58         26.10        327.60
             2.60          2.80         23.58         26.10        902.61
             2.80          3.00         23.58         26.10       2228.16
             3.00          3.20         23.58         26.10       5230.11
             3.20          3.40         23.58         26.10      11278.50
             3.40          3.60         23.58         26.10      22641.42
             3.60          3.80         23.58         26.10      43565.20
             3.80          4.00         23.58         26.10      80646.18
             4.00          4.20         23.58         26.10     139842.80
             4.20          4.40         23.58         26.10     220986.86
             4.40          4.60         23.58         26.10     349189.22
             4.60          4.80         23.58         26.10     517841.88
             4.80          5.00         23.58         26.10     775277.06
             5.00          5.20         23.58         26.10    1075555.43
             5.20          5.40         23.58         26.10    1473862.29
             5.40          5.60         23.58         26.10    1885830.48
             5.60          5.80         23.58         26.10    2260747.63
             5.80          6.00         23.58         26.10    2575075.51
             6.00          6.20         23.58         26.10    2865292.97
             6.20          6.40         23.58         26.10    3048453.02
             6.40          6.60         23.58         26.10    3315737.36
             6.60          6.80         23.58         26.10    2915409.64
             6.80          7.00         23.58         26.10    2755076.32
             7.00          7.20         23.58         26.10    3314481.61
             7.20          7.40         23.58         26.10    1825071.43
             7.40          7.60         23.58         26.10    1256250.27
             7.60          7.80         23.58         26.10     858772.55
             7.80          8.00         23.58         26.10    1128587.56
             8.00          8.20         23.58         26.10     328260.38
             8.20          8.40         23.58         26.10     166658.53
             8.40          8.60         23.58         26.10      70201.14
             8.60          8.80         23.58         26.10      26939.93
             8.80          9.00         23.58         26.10      45143.04
             9.00          9.20         23.58         26.10          0.00
             9.20          9.40         23.58         26.10          0.00
             9.40          9.60         23.58         26.10          0.00
             9.60          9.80         23.58         26.10          0.00
             9.80         10.00         23.58         26.10          0.00
             2.00          2.20         26.10         28.69         18.56
             2.20          2.40         26.10         28.69         98.93
             2.40          2.60         26.10         28.69        330.21
             2.60          2.80         26.10         28.69        913.04
             2.80          3.00         26.10         28.69       2269.85
             3.00          3.20         26.10         28.69       5287.51
             3.20          3.40         26.10         28.69      11342.69
             3.40          3.60         26.10         28.69      23245.72
             3.60          3.80         26.10         28.69      43976.04
             3.80          4.00         26.10         28.69      80816.37
             4.00          4.20         26.10         28.69     137526.09
             4.20          4.40         26.10         28.69     224773.97
             4.40          4.60         26.10         28.69     352919.52
             4.60          4.80         26.10         28.69     532079.36
             4.80          5.00         26.10         28.69     781135.85
             5.00          5.20         26.10         28.69    1001714.95
             5.20          5.40         26.10         28.69    1337693.03
             5.40          5.60         26.10         28.69    1708018.79
             5.60          5.80         26.10         28.69    1959379.67
             5.80          6.00         26.10         28.69    2260840.83
             6.00          6.20         26.10         28.69    2589364.45
             6.20          6.40         26.10         28.69    2836086.31
             6.40          6.60         26.10         28.69    2520487.67
             6.60          6.80         26.10         28.69    2314322.33
             6.80          7.00         26.10         28.69    2348324.07
             7.00          7.20         26.10         28.69    1603112.42
             7.20          7.40         26.10         28.69     960777.86
             7.40          7.60         26.10         28.69     676478.11
             7.60          7.80         26.10         28.69     645250.85
             7.80          8.00         26.10         28.69     273807.69
             8.00          8.20         26.10         28.69     191950.71
             8.20          8.40         26.10         28.69      58615.04
             8.40          8.60         26.10         28.69      36961.18
             8.60          8.80         26.10         28.69      19908.33
             8.80          9.00         26.10         28.69      12872.26
             9.00          9.20         26.10         28.69          0.00
             9.20          9.40         26.10         28.69          0.00
             9.40          9.60         26.10         28.69          0.00
             9.60          9.80         26.10         28.69          0.00
             9.80         10.00         26.10         28.69          0.00
             2.00          2.20         28.69         31.33         19.02
             2.20          2.40         28.69         31.33         99.66
             2.40          2.60         28.69         31.33        336.60
             2.60          2.80         28.69         31.33        917.20
             2.80          3.00         28.69         31.33       2262.08
             3.00          3.20         28.69         31.33       5242.59
             3.20          3.40         28.69         31.33      11187.72
             3.40          3.60         28.69         31.33      22574.27
             3.60          3.80         28.69         31.33      43150.48
             3.80          4.00         28.69         31.33      77060.41
             4.00          4.20         28.69         31.33     132758.87
             4.20          4.40         28.69         31.33     226243.06
             4.40          4.60         28.69         31.33     346664.94
             4.60          4.80         28.69         31.33     513945.85
             4.80          5.00         28.69         31.33     740192.50
             5.00          5.20         28.69         31.33     966790.93
             5.20          5.40         28.69         31.33    1224765.72
             5.40          5.60         28.69         31.33    1580604.37
             5.60          5.80         28.69         31.33    1806649.99
             5.80          6.00         28.69         31.33    2043596.71
             6.00          6.20         28.69         31.33    2267676.10
             6.20          6.40         28.69         31.33    2135548.34
             6.40          6.60         28.69         31.33    2054814.05
             6.60          6.80         28.69         31.33    1874824.17
             6.80          7.00         28.69         31.33    1509016.45
             7.00          7.20         28.69         31.33     694760.25
             7.20          7.40         28.69         31.33     544870.89
             7.40          7.60         28.69         31.33     452821.19
             7.60          7.80         28.69         31.33     453433.03
             7.80          8.00         28.69         31.33     131280.73
             8.00          8.20         28.69         31.33      84786.94
             8.20          8.40         28.69         31.33      79290.76
             8.40          8.60         28.69         31.33      23834.35
             8.60          8.80         28.69         31.33      16216.26
             8.80          9.00         28.69         31.33       8069.72
             9.00          9.20         28.69         31.33          0.00
             9.20          9.40         28.69         31.33          0.00
             9.40          9.60         28.69         31.33          0.00
             9.60          9.80         28.69         31.33          0.00
             9.80         10.00         28.69         31.33          0.00
             2.00          2.20         31.33         34.06         19.09
             2.20          2.40         31.33         34.06        101.75
             2.40          2.60         31.33         34.06        337.66
             2.60          2.80         31.33         34.06        918.74
             2.80          3.00         31.33         34.06       2280.78
             3.00          3.20         31.33         34.06       5221.90
             3.20          3.40         31.33         34.06      11235.29
             3.40          3.60         31.33         34.06      22425.19
             3.60          3.80         31.33         34.06      43274.83
             3.80          4.00         31.33         34.06      78865.48
             4.00          4.20         31.33         34.06     133396.83
             4.20          4.40         31.33         34.06     224104.61
             4.40          4.60         31.33         34.06     346241.83
             4.60          4.80         31.33         34.06     512191.38
             4.80          5.00         31.33         34.06     699278.13
             5.00          5.20         31.33         34.06     996306.50
             5.20          5.40         31.33         34.06    1221071.07
             5.40          5.60         31.33         34.06    1500190.66
             5.60          5.80         31.33         34.06    1783904.01
             5.80          6.00         31.33         34.06    1898734.08
             6.00          6.20         31.33         34.06    1852729.69
             6.20          6.40         31.33         34.06    2105251.93
             6.40          6.60         31.33         34.06    1825671.21
             6.60          6.80         31.33         34.06    1475268.47
             6.80          7.00         31.33         34.06    1154787.88
             7.00          7.20         31.33         34.06     937054.20
             7.20          7.40         31.33         34.06     460428.01
             7.40          7.60         31.33         34.06     196390.90
             7.60          7.80         31.33         34.06     146726.76
             7.80          8.00         31.33         34.06      77003.15
             8.00          8.20         31.33         34.06      73595.39
             8.20          8.40         31.33         34.06      38134.09
             8.40          8.60         31.33         34.06      35666.53
             8.60          8.80         31.33         34.06       5791.64
             8.80          9.00         31.33         34.06       7682.79
             9.00          9.20         31.33         34.06          0.00
             9.20          9.40         31.33         34.06          0.00
             9.40          9.60         31.33         34.06          0.00
             9.60          9.80         31.33         34.06          0.00
             9.80         10.00         31.33         34.06          0.00
             2.00          2.20         34.06         36.87         19.38
             2.20          2.40         34.06         36.87        101.43
             2.40          2.60         34.06         36.87        341.00
             2.60          2.80         34.06         36.87        922.77
             2.80          3.00         34.06         36.87       2274.61
             3.00          3.20         34.06         36.87       5208.21
             3.20          3.40         34.06         36.87      11188.04
             3.40          3.60         34.06         36.87      22172.45
             3.60          3.80         34.06         36.87      42467.47
             3.80          4.00         34.06         36.87      77222.13
             4.00          4.20         34.06         36.87     134558.29
             4.20          4.40         34.06         36.87     212637.98
             4.40          4.60         34.06         36.87     330914.54
             4.60          4.80         34.06         36.87     496833.49
             4.80          5.00         34.06         36.87     681255.83
             5.00          5.20         34.06         36.87     916270.26
             5.20          5.40         34.06         36.87    1180747.93
             5.40          5.60         34.06         36.87    1371260.98
             5.60          5.80         34.06         36.87    1578829.97
             5.80          6.00         34.06         36.87    1700674.16
             6.00          6.20         34.06         36.87    1609622.12
             6.20          6.40         34.06         36.87    1595670.85
             6.40          6.60         34.06         36.87    1295250.15
             6.60          6.80         34.06         36.87    1082630.76
             6.80          7.00         34.06         36.87     854609.81
             7.00          7.20         34.06         36.87     750261.56
             7.20          7.40         34.06         36.87     350364.42
             7.40          7.60         34.06         36.87     199484.21
             7.60          7.80         34.06         36.87     116568.41
             7.80          8.00         34.06         36.87      61529.35
             8.00          8.20         34.06         36.87      17673.55
             8.20          8.40         34.06         36.87      25019.15
             8.40          8.60         34.06         36.87      11714.65
             8.60          8.80         34.06         36.87       5086.61
             8.80          9.00         34.06         36.87       7380.45
             9.00          9.20         34.06         36.87          0.00
             9.20          9.40         34.06         36.87          0.00
             9.40          9.60         34.06         36.87          0.00
             9.60          9.80         34.06         36.87          0.00
             9.80         10.00         34.06         36.87          0.00
             2.00          2.20         36.87         39.79         19.65
             2.20          2.40         36.87         39.79        102.17
             2.40          2.60         36.87         39.79        338.86
             2.60          2.80         36.87         39.79        925.86
             2.80          3.00         36.87         39.79       2286.86
             3.00          3.20         36.87         39.79       5083.10
             3.20          3.40         36.87         39.79      11007.74
             3.40          3.60         36.87         39.79      22539.36
             3.60          3.80         36.87         39.79      42799.81
             3.80          4.00         36.87         39.79      75953.73
             4.00          4.20         36.87         39.79     132238.70
             4.20          4.40         36.87         39.79     208177.62
             4.40          4.60         36.87         39.79     334438.57
             4.60          4.80         36.87         39.79     503705.28
             4.80          5.00         36.87         39.79     673462.95
             5.00          5.20         36.87         39.79     888878.75
             5.20          5.40         36.87         39.79    1088291.15
             5.40          5.60         36.87         39.79    1184713.56
             5.60          5.80         36.87         39.79    1443953.84
             5.80          6.00         36.87         39.79    1514280.90
             6.00          6.20         36.87         39.79    1537388.01
             6.20          6.40         36.87         39.79    1346925.02
             6.40          6.60         36.87         39.79    1109857.32
             6.60          6.80         36.87         39.79     811771.47
             6.80          7.00         36.87         39.79     633538.40
             7.00          7.20         36.87         39.79     509247.54
             7.20          7.40         36.87         39.79     173815.00
             7.40          7.60         36.87         39.79     143905.07
             7.60          7.80         36.87         39.79      72087.00
             7.80          8.00         36.87         39.79      35901.11
             8.00          8.20         36.87         39.79      23363.44
             8.20          8.40         36.87         39.79       7101.63
             8.40          8.60         36.87         39.79      11140.26
             8.60          8.80         36.87         39.79       3583.93
             8.80          9.00         36.87         39.79        926.06
             9.00          9.20         36.87         39.79          0.00
             9.20          9.40         36.87         39.79          0.00
             9.40          9.60         36.87         39.79          0.00
             9.60          9.80         36.87         39.79          0.00
             9.80         10.00         36.87         39.79          0.00
             2.00          2.20         39.79         42.84         19.77
             2.20          2.40         39.79         42.84        100.93
             2.40          2.60         39.79         42.84        337.30
             2.60          2.80         39.79         42.84        912.19
             2.80          3.00         39.79         42.84       2238.18
             3.00          3.20         39.79         42.84       5153.93
             3.20          3.40         39.79         42.84      10974.99
             3.40          3.60         39.79         42.84      22145.53
             3.60          3.80         39.79         42.84      41872.21
             3.80          4.00         39.79         42.84      74364.19
             4.00          4.20         39.79         42.84     126494.64
             4.20          4.40         39.79         42.84     213620.44
             4.40          4.60         39.79         42.84     315119.80
             4.60          4.80         39.79         42.84     447650.67
             4.80          5.00         39.79         42.84     629120.28
             5.00          5.20         39.79         42.84     831062.82
             5.20          5.40         39.79         42.84    1062444.59
             5.40          5.60         39.79         42.84    1187317.81
             5.60          5.80         39.79         42.84    1350927.48
             5.80          6.00         39.79         42.84    1356096.45
             6.00          6.20         39.79         42.84    1241402.07
             6.20          6.40         39.79         42.84    1099663.04
             6.40          6.60         39.79         42.84    1014176.28
             6.60          6.80         39.79         42.84     668746.29
             6.80          7.00         39.79         42.84     477689.77
             7.00          7.20         39.79         42.84     256702.58
             7.20          7.40         39.79         42.84     219787.00
             7.40          7.60         39.79         42.84      91213.12
             7.60          7.80         39.79         42.84      30754.86
             7.80          8.00         39.79         42.84      35209.25
             8.00          8.20         39.79         42.84      29284.77
             8.20          8.40         39.79         42.84       5258.88
             8.40          8.60         39.79         42.84      27765.21
             8.60          8.80         39.79         42.84        568.68
             8.80          9.00         39.79         42.84       2246.94
             9.00          9.20         39.79         42.84          0.00
             9.20          9.40         39.79         42.84          0.00
             9.40          9.60         39.79         42.84          0.00
             9.60          9.80         39.79         42.84          0.00
             9.80         10.00         39.79         42.84          0.00
             2.00          2.20         42.84         46.05         20.15
             2.20          2.40         42.84         46.05        101.55
             2.40          2.60         42.84         46.05        337.29
             2.60          2.80         42.84         46.05        915.43
             2.80          3.00         42.84         46.05       2220.45
             3.00          3.20         42.84         46.05       5097.65
             3.20          3.40         42.84         46.05      10821.98
             3.40          3.60         42.84         46.05      21917.36
             3.60          3.80         42.84         46.05      42380.24
             3.80          4.00         42.84         46.05      74079.85
             4.00          4.20         42.84         46.05     124526.09
             4.20          4.40         42.84         46.05     206043.01
             4.40          4.60         42.84         46.05     311051.85
             4.60          4.80         42.84         46.05     446862.70
             4.80          5.00         42.84         46.05     604960.39
             5.00          5.20         42.84         46.05     782359.70
             5.20          5.40         42.84         46.05     977407.92
             5.40          5.60         42.84         46.05    1141855.54
             5.60          5.80         42.84         46.05    1208176.20
             5.80          6.00         42.84         46.05    1190075.23
             6.00          6.20         42.84         46.05    1092139.77
             6.20          6.40         42.84         46.05     908239.11
             6.40          6.60         42.84         46.05     805562.16
             6.60          6.80         42.84         46.05     554224.35
             6.80          7.00         42.84         46.05     350518.75
             7.00          7.20         42.84         46.05     194742.17
             7.20          7.40         42.84         46.05     160142.07
             7.40          7.60         42.84         46.05      48397.56
             7.60          7.80         42.84         46.05      27563.37
             7.80          8.00         42.84         46.05      15025.77
             8.00          8.20         42.84         46.05      21541.39
             8.20          8.40         42.84         46.05      19780.19
             8.40          8.60         42.84         46.05       5494.84
             8.60          8.80         42.84         46.05        337.07
             8.80          9.00         42.84         46.05       2646.15
             9.00          9.20         42.84         46.05          0.00
             9.20          9.40         42.84         46.05          0.00
             9.40          9.60         42.84         46.05          0.00
             9.60          9.80         42.84         46.05          0.00
             9.80         10.00         42.84         46.05          0.00
             2.00          2.20         46.05         49.46         20.72
             2.20          2.40         46.05         49.46        102.97
             2.40          2.60         46.05         49.46        342.66
             2.60          2.80         46.05         49.46        917.54
             2.80          3.00         46.05         49.46       2237.76
             3.00          3.20         46.05         49.46       5065.88
             3.20          3.40         46.05         49.46      10825.44
             3.40          3.60         46.05         49.46      21482.16
             3.60          3.80         46.05         49.46      41739.84
             3.80          4.00         46.05         49.46      73696.70
             4.00          4.20         46.05         49.46     126715.19
             4.20          4.40         46.05         49.46     204666.25
             4.40          4.60         46.05         49.46     301841.14
             4.60          4.80         46.05         49.46     412086.26
             4.80          5.00         46.05         49.46     563642.91
             5.00          5.20         46.05         49.46     774688.13
             5.20          5.40         46.05         49.46     909090.13
             5.40          5.60         46.05         49.46    1032994.68
             5.60          5.80         46.05         49.46    1122537.34
             5.80          6.00         46.05         49.46    1027785.66
             6.00          6.20         46.05         49.46     941253.76
             6.20          6.40         46.05         49.46     801887.64
             6.40          6.60         46.05         49.46     585703.24
             6.60          6.80         46.05         49.46     393789.44
             6.80          7.00         46.05         49.46     285181.93
             7.00          7.20         46.05         49.46     191542.27
             7.20          7.40         46.05         49.46     105006.89
             7.40          7.60         46.05         49.46      52253.17
             7.60          7.80         46.05         49.46      24985.37
             7.80          8.00         46.05         49.46      14631.03
             8.00          8.20         46.05         49.46      10281.47
             8.20          8.40         46.05         49.46       2260.62
             8.40          8.60         46.05         49.46       1156.34
             8.60          8.80         46.05         49.46        887.19
             8.80          9.00         46.05         49.46        443.13
             9.00          9.20         46.05         49.46          0.00
             9.20          9.40         46.05         49.46          0.00
             9.40          9.60         46.05         49.46          0.00
             9.60          9.80         46.05         49.46          0.00
             9.80         10.00         46.05         49.46          0.00
             2.00          2.20         49.46         53.13         21.36
             2.20          2.40         49.46         53.13        103.73
             2.40          2.60         49.46         53.13        339.87
             2.60          2.80         49.46         53.13        923.34
             2.80          3.00         49.46         53.13       2231.29
             3.00          3.20         49.46         53.13       5096.75
             3.20          3.40         49.46         53.13      10944.69
             3.40          3.60         49.46         53.13      21784.05
             3.60          3.80         49.46         53.13      40961.83
             3.80          4.00         49.46         53.13      74279.96
             4.00          4.20         49.46         53.13     127558.77
             4.20          4.40         49.46         53.13     195702.83
             4.40          4.60         49.46         53.13     294912.36
             4.60          4.80         49.46         53.13     420243.72
             4.80          5.00         49.46         53.13     561973.34
             5.00          5.20         49.46         53.13     710035.92
             5.20          5.40         49.46         53.13     856933.26
             5.40          5.60         49.46         53.13     909794.64
             5.60          5.80         49.46         53.13     951735.51
             5.80          6.00         49.46         53.13     913303.74
             6.00          6.20         49.46         53.13     854998.91
             6.20          6.40         49.46         53.13     680129.19
             6.40          6.60         49.46         53.13     497268.79
             6.60          6.80         49.46         53.13     317450.02
             6.80          7.00         49.46         53.13     221163.66
             7.00          7.20         49.46         53.13     121726.11
             7.20          7.40         49.46         53.13      64922.18
             7.40          7.60         49.46         53.13      33134.08
             7.60          7.80         49.46         53.13      21010.33
             7.80          8.00         49.46         53.13       3911.80
             8.00          8.20         49.46         53.13       5116.09
             8.20          8.40         49.46         53.13       1316.34
             8.40          8.60         49.46         53.13        973.50
             8.60          8.80         49.46         53.13       1899.68
             8.80          9.00         49.46         53.13        130.17
             9.00          9.20         49.46         53.13          0.00
