#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             7.80          8.00        -34.06        -31.33   13947994.46
             8.00          8.20        -34.06        -31.33   16591637.88
             8.20          8.40        -34.06        -31.33   18627765.36
             8.40          8.60        -34.06        -31.33   21777440.69
             8.60          8.80        -34.06        -31.33   24178966.65
             8.80          9.00        -34.06        -31.33   27592056.23
             9.00          9.20        -34.06        -31.33          0.00
             9.20          9.40        -34.06        -31.33          0.00
             9.40          9.60        -34.06        -31.33          0.00
             9.60          9.80        -34.06        -31.33          0.00
             9.80         10.00        -34.06        -31.33          0.00
             2.00          2.20        -31.33        -28.69          0.00
             2.20          2.40        -31.33        -28.69          0.00
             2.40          2.60        -31.33        -28.69          0.00
             2.60          2.80        -31.33        -28.69          0.00
             2.80          3.00        -31.33        -28.69          0.00
             3.00          3.20        -31.33        -28.69          0.00
             3.20          3.40        -31.33        -28.69          0.00
             3.40          3.60        -31.33        -28.69          0.00
             3.60          3.80        -31.33        -28.69          0.00
             3.80          4.00        -31.33        -28.69          0.00
             4.00          4.20        -31.33        -28.69          0.00
             4.20          4.40        -31.33        -28.69        101.91
             4.40          4.60        -31.33        -28.69        744.04
             4.60          4.80        -31.33        -28.69       4395.60
             4.80          5.00        -31.33        -28.69      19729.43
             5.00          5.20        -31.33        -28.69      59361.07
             5.20          5.40        -31.33        -28.69     158612.23
             5.40          5.60        -31.33        -28.69     347365.08
             5.60          5.80        -31.33        -28.69     647498.01
             5.80          6.00        -31.33        -28.69    1014304.50
             6.00          6.20        -31.33        -28.69    1607632.55
             6.20          6.40        -31.33        -28.69    2272760.63
             6.40          6.60        -31.33        -28.69    2921672.15
             6.60          6.80        -31.33        -28.69    3876803.66
             6.80          7.00        -31.33        -28.69    4899875.48
             7.00          7.20        -31.33        -28.69    5959476.24
             7.20          7.40        -31.33        -28.69    7654321.84
             7.40          7.60        -31.33        -28.69    9944836.74
             7.60          7.80        -31.33        -28.69   12192575.46
             7.80          8.00        -31.33        -28.69   13753825.31
